endpoint,payload,attack_type,label
/login,username=john&password=qwerty123,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/search,q=machine learning,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/search,q=network,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/ping,host=example.com,NORMAL,0
/ping,host=github.com,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/ping,host=github.com,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/download,file=readme.txt,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/login,username=emma&password=user123,NORMAL,0
/search,q=database,NORMAL,0
/download,file=data.csv,NORMAL,0
/login,username=charlie&password=qwerty123,NORMAL,0
/search,q=network,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/comment,comment=Great project,NORMAL,0
/ping,host=github.com,NORMAL,0
/search,q=fastapi,NORMAL,0
/ping,host=github.com,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/download,file=document.docx,NORMAL,0
/ping,host=openai.com,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/search,q=linux,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/login,username=admin&password=admin123,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/login,username=admin&password=user123,NORMAL,0
/comment,comment=Learning cybersecurity,NORMAL,0
/ping,host=example.com,NORMAL,0
/login,username=bob&password=mypassword,NORMAL,0
/search,q=web security,NORMAL,0
/login,username=john&password=admin123,NORMAL,0
/search,q=fastapi,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/search,q=windows,NORMAL,0
/ping,host=openai.com,NORMAL,0
/ping,host=stackoverflow.com,NORMAL,0
/search,q=network,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/comment,comment=Working as expected,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/login,username=james&password=qwerty123,NORMAL,0
/download,file=manual.pdf,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/search,q=web security,NORMAL,0
/login,username=john&password=admin123,NORMAL,0
/ping,host=openai.com,NORMAL,0
/login,username=bob&password=mypassword,NORMAL,0
/search,q=machine learning,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/download,file=document.docx,NORMAL,0
/comment,comment=Working as expected,NORMAL,0
/search,q=cloud,NORMAL,0
/search,q=linux,NORMAL,0
/search,q=programming,NORMAL,0
/search,q=web security,NORMAL,0
/download,file=report.txt,NORMAL,0
/login,username=alice&password=password,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/search,q=fastapi,NORMAL,0
/download,file=report.txt,NORMAL,0
/download,file=manual.pdf,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/login,username=emma&password=mypassword,NORMAL,0
/download,file=manual.pdf,NORMAL,0
/ping,host=8.8.8.8,NORMAL,0
/ping,host=8.8.8.8,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/comment,comment=Great project,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/ping,host=8.8.8.8,NORMAL,0
/search,q=fastapi,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/login,username=emma&password=mypassword,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/ping,host=github.com,NORMAL,0
/search,q=windows,NORMAL,0
/login,username=alice&password=admin123,NORMAL,0
/download,file=data.csv,NORMAL,0
/comment,comment=Working as expected,NORMAL,0
/download,file=notes.txt,NORMAL,0
/search,q=web security,NORMAL,0
/search,q=programming,NORMAL,0
/login,username=charlie&password=test123,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/ping,host=google.com,NORMAL,0
/login,username=alice&password=user123,NORMAL,0
/ping,host=github.com,NORMAL,0
/login,username=james&password=test123,NORMAL,0
/login,username=alice&password=welcome123,NORMAL,0
/ping,host=stackoverflow.com,NORMAL,0
/search,q=machine learning,NORMAL,0
/download,file=readme.txt,NORMAL,0
/ping,host=8.8.8.8,NORMAL,0
/ping,host=example.com,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/ping,host=openai.com,NORMAL,0
/login,username=admin&password=password,NORMAL,0
/comment,comment=Nice dashboard,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/download,file=data.csv,NORMAL,0
/login,username=admin&password=test123,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/search,q=firewall,NORMAL,0
/download,file=document.docx,NORMAL,0
/search,q=linux,NORMAL,0
/login,username=alice&password=test123,NORMAL,0
/search,q=programming,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/search,q=cloud,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/download,file=notes.txt,NORMAL,0
/search,q=web security,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/login,username=sarah&password=admin123,NORMAL,0
/comment,comment=Working as expected,NORMAL,0
/login,username=james&password=user123,NORMAL,0
/ping,host=github.com,NORMAL,0
/download,file=data.csv,NORMAL,0
/login,username=mike&password=mypassword,NORMAL,0
/search,q=web security,NORMAL,0
/login,username=admin&password=mypassword,NORMAL,0
/ping,host=openai.com,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/comment,comment=Great project,NORMAL,0
/download,file=notes.txt,NORMAL,0
/login,username=admin&password=user123,NORMAL,0
/comment,comment=Working as expected,NORMAL,0
/ping,host=openai.com,NORMAL,0
/download,file=readme.txt,NORMAL,0
/login,username=alice&password=password,NORMAL,0
/login,username=sarah&password=user123,NORMAL,0
/download,file=document.docx,NORMAL,0
/download,file=report.txt,NORMAL,0
/search,q=fastapi,NORMAL,0
/login,username=sarah&password=test123,NORMAL,0
/login,username=alice&password=user123,NORMAL,0
/download,file=presentation.pptx,NORMAL,0
/download,file=manual.pdf,NORMAL,0
/ping,host=stackoverflow.com,NORMAL,0
/ping,host=openai.com,NORMAL,0
/login,username=james&password=qwerty123,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/ping,host=openai.com,NORMAL,0
/search,q=cloud,NORMAL,0
/search,q=linux,NORMAL,0
/login,username=john&password=admin123,NORMAL,0
/login,username=alice&password=securepass,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/search,q=database,NORMAL,0
/search,q=firewall,NORMAL,0
/search,q=python,NORMAL,0
/comment,comment=Nice dashboard,NORMAL,0
/download,file=data.csv,NORMAL,0
/search,q=web security,NORMAL,0
/search,q=firewall,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/download,file=data.csv,NORMAL,0
/login,username=david&password=securepass,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/ping,host=google.com,NORMAL,0
/search,q=programming,NORMAL,0
/search,q=machine learning,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/search,q=network,NORMAL,0
/ping,host=example.com,NORMAL,0
/comment,comment=Learning cybersecurity,NORMAL,0
/login,username=david&password=qwerty123,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/search,q=web security,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/search,q=linux,NORMAL,0
/login,username=james&password=user123,NORMAL,0
/login,username=david&password=password,NORMAL,0
/login,username=emma&password=securepass,NORMAL,0
/ping,host=example.com,NORMAL,0
/search,q=fastapi,NORMAL,0
/download,file=document.docx,NORMAL,0
/login,username=alice&password=user123,NORMAL,0
/ping,host=google.com,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/download,file=report.txt,NORMAL,0
/login,username=david&password=qwerty123,NORMAL,0
/login,username=alice&password=test123,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/login,username=bob&password=qwerty123,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/login,username=alice&password=user123,NORMAL,0
/comment,comment=Great project,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/search,q=database,NORMAL,0
/ping,host=stackoverflow.com,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/download,file=document.docx,NORMAL,0
/comment,comment=Project looks good,NORMAL,0
/login,username=james&password=password,NORMAL,0
/search,q=python,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/search,q=linux,NORMAL,0
/download,file=document.docx,NORMAL,0
/download,file=data.csv,NORMAL,0
/comment,comment=Great project,NORMAL,0
/download,file=guide.pdf,NORMAL,0
/login,username=emma&password=password,NORMAL,0
/login,username=james&password=qwerty123,NORMAL,0
/download,file=document.docx,NORMAL,0
/ping,host=1.1.1.1,NORMAL,0
/comment,comment=Great project,NORMAL,0
/ping,host=github.com,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/download,file=readme.txt,NORMAL,0
/search,q=fastapi,NORMAL,0
/ping,host=8.8.8.8,NORMAL,0
/search,q=linux,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/download,file=notes.txt,NORMAL,0
/comment,comment=Great project,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/search,q=firewall,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/comment,comment=Good interface,NORMAL,0
/search,q=firewall,NORMAL,0
/download,file=manual.pdf,NORMAL,0
/download,file=document.docx,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/ping,host=microsoft.com,NORMAL,0
/download,file=document.docx,NORMAL,0
/download,file=notes.txt,NORMAL,0
/ping,host=example.com,NORMAL,0
/ping,host=example.com,NORMAL,0
/ping,host=8.8.8.8,NORMAL,0
/login,username=david&password=admin123,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/comment,comment=This is a sample comment,NORMAL,0
/search,q=web security,NORMAL,0
/search,q=linux,NORMAL,0
/ping,host=google.com,NORMAL,0
/search,q=web security,NORMAL,0
/login,username=james&password=admin123,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/comment,comment=Checking functionality,NORMAL,0
/ping,host=example.com,NORMAL,0
/login,username=admin&password=securepass,NORMAL,0
/search,q=fastapi,NORMAL,0
/login,username=james&password=qwerty123,NORMAL,0
/download,file=readme.txt,NORMAL,0
/comment,comment=Useful application,NORMAL,0
/ping,host=github.com,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/login,username=james&password=qwerty123,NORMAL,0
/login,username=james&password=test123,NORMAL,0
/download,file=readme.txt,NORMAL,0
/ping,host=google.com,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/login,username=john&password=password,NORMAL,0
/search,q=windows,NORMAL,0
/ping,host=google.com,NORMAL,0
/ping,host=stackoverflow.com,NORMAL,0
/login,username=john&password=test123,NORMAL,0
/login,username=david&password=password,NORMAL,0
/comment,comment=Testing comment feature,NORMAL,0
/search,q=linux,NORMAL,0
